,invoice_id,city,product_category,unit_price,quantity,total,type_of_payment,purchase_date,year,month,weekday,time,customer_type,gender,rating
18,329-62-1586,Yangon,Food and beverages,54.67,3,172.2105,Credit card,2019-01-21,2019,1,0,18:00,Normal,Male,8.6
19,319-50-3348,Mandalay,Home and lifestyle,40.3,2,84.63,Ewallet,2019-03-11,2019,3,0,15:30,Normal,Female,4.4
20,300-71-4605,Naypyitaw,Electronic accessories,86.04,5,451.71,Ewallet,2019-02-25,2019,2,0,11:24,Member,Male,4.8
21,371-85-5789,Mandalay,Health and beauty,87.98,3,277.137,Ewallet,2019-03-05,2019,3,1,10:40,Normal,Male,5.1
22,273-16-6619,Mandalay,Home and lifestyle,33.2,2,69.72,Credit card,2019-03-15,2019,3,4,12:20,Normal,Male,4.4
23,636-48-8204,Yangon,Electronic accessories,34.56,5,181.44,Ewallet,2019-02-17,2019,2,6,11:15,Normal,Male,9.9
24,549-59-1358,Yangon,Sports and travel,88.63,3,279.1845,Ewallet,2019-03-02,2019,3,5,17:36,Member,Male,6.0
25,227-03-5010,Yangon,Home and lifestyle,52.59,8,441.756,Credit card,2019-03-22,2019,3,4,19:20,Member,Female,8.5
26,649-29-6775,Mandalay,Fashion accessories,33.52,1,35.196,Cash,2019-02-08,2019,2,4,15:31,Normal,Male,6.7
27,189-17-4241,Yangon,Fashion accessories,87.67,2,184.107,Credit card,2019-03-10,2019,3,6,12:17,Normal,Female,7.7
28,145-94-9061,Mandalay,Food and beverages,88.36,5,463.89,Cash,2019-01-25,2019,1,4,19:48,Normal,Female,9.6
29,848-62-7243,Yangon,Health and beauty,24.89,9,235.2105,Cash,2019-03-15,2019,3,4,15:36,Normal,Male,7.4
30,871-79-8483,Mandalay,Fashion accessories,94.13,5,494.1825,Credit card,2019-02-25,2019,2,0,19:39,Normal,Male,4.8
31,149-71-6266,Mandalay,Sports and travel,78.07,9,737.7615,Cash,2019-01-28,2019,1,0,12:43,Member,Male,4.5
32,640-49-2076,Mandalay,Sports and travel,83.78,8,703.752,Cash,2019-01-10,2019,1,3,14:49,Normal,Male,5.1
33,595-11-5460,Yangon,Health and beauty,96.58,2,202.818,Credit card,2019-03-15,2019,3,4,10:12,Normal,Male,5.1
34,183-56-6882,Naypyitaw,Food and beverages,99.42,4,417.564,Ewallet,2019-02-06,2019,2,2,10:42,Member,Female,7.5
35,232-16-2483,Naypyitaw,Sports and travel,68.12,1,71.526,Ewallet,2019-01-07,2019,1,0,12:28,Member,Female,6.8
36,129-29-8530,Yangon,Sports and travel,62.62,5,328.755,Ewallet,2019-03-10,2019,3,6,19:15,Member,Male,7.0
37,272-65-1806,Yangon,Electronic accessories,60.88,9,575.316,Ewallet,2019-01-15,2019,1,1,17:17,Normal,Female,4.7
38,333-73-7901,Naypyitaw,Health and beauty,54.92,8,461.328,Ewallet,2019-03-23,2019,3,5,13:24,Normal,Female,7.6
39,777-82-7220,Mandalay,Home and lifestyle,30.12,8,253.008,Cash,2019-03-03,2019,3,6,13:01,Member,Male,7.7
40,280-35-5823,Mandalay,Home and lifestyle,86.72,1,91.056,Ewallet,2019-01-17,2019,1,3,18:45,Member,Female,7.9
41,554-53-8700,Naypyitaw,Home and lifestyle,56.11,2,117.831,Cash,2019-02-02,2019,2,5,10:11,Member,Male,6.3
42,354-25-5821,Mandalay,Sports and travel,69.12,6,435.456,Cash,2019-02-08,2019,2,4,13:03,Member,Female,5.6
43,228-96-1411,Naypyitaw,Food and beverages,98.7,8,829.08,Cash,2019-03-04,2019,3,0,20:39,Member,Female,7.6
44,617-15-4209,Naypyitaw,Health and beauty,15.37,2,32.277,Cash,2019-03-16,2019,3,5,19:47,Member,Male,7.2
45,132-32-9879,Mandalay,Electronic accessories,93.96,4,394.632,Cash,2019-03-09,2019,3,5,18:00,Member,Female,9.5
46,370-41-7321,Mandalay,Health and beauty,56.69,9,535.7205,Credit card,2019-02-27,2019,2,2,17:24,Member,Male,8.4
47,727-46-3608,Mandalay,Food and beverages,20.01,9,189.0945,Ewallet,2019-02-06,2019,2,2,15:47,Member,Female,4.1
48,669-54-1719,Mandalay,Electronic accessories,18.93,6,119.259,Credit card,2019-02-10,2019,2,6,12:45,Member,Male,8.1
49,574-22-5561,Naypyitaw,Fashion accessories,82.63,10,867.615,Ewallet,2019-03-19,2019,3,1,17:08,Member,Female,7.9
50,326-78-5178,Naypyitaw,Food and beverages,91.4,7,671.79,Cash,2019-02-03,2019,2,6,10:19,Member,Male,9.5
51,162-48-8011,Yangon,Food and beverages,44.59,5,234.0975,Cash,2019-02-10,2019,2,6,15:10,Member,Female,8.5
52,616-24-2851,Mandalay,Fashion accessories,17.87,4,75.054,Ewallet,2019-03-22,2019,3,4,14:42,Member,Female,6.5
53,778-71-5554,Naypyitaw,Fashion accessories,15.43,1,16.2015,Credit card,2019-01-25,2019,1,4,15:46,Member,Male,6.1
54,242-55-6721,Mandalay,Home and lifestyle,16.16,2,33.936,Ewallet,2019-03-07,2019,3,3,11:49,Normal,Male,6.5
55,399-46-5918,Naypyitaw,Electronic accessories,85.98,8,722.232,Cash,2019-02-28,2019,2,3,19:01,Normal,Female,8.2
56,106-35-6779,Yangon,Home and lifestyle,44.34,2,93.114,Cash,2019-03-27,2019,3,2,11:26,Member,Male,5.8
57,635-40-6220,Yangon,Health and beauty,89.6,8,752.64,Ewallet,2019-02-07,2019,2,3,11:28,Normal,Male,6.6
58,817-48-8732,Yangon,Home and lifestyle,72.35,10,759.675,Cash,2019-01-20,2019,1,6,15:55,Member,Female,5.4
59,120-06-4233,Naypyitaw,Electronic accessories,30.61,6,192.843,Cash,2019-03-12,2019,3,1,20:36,Normal,Male,9.3
60,285-68-5083,Naypyitaw,Sports and travel,24.74,3,77.931,Credit card,2019-02-15,2019,2,4,17:47,Member,Female,10.0
61,803-83-5989,Naypyitaw,Home and lifestyle,55.73,6,351.099,Ewallet,2019-02-24,2019,2,6,10:55,Normal,Male,7.0
62,347-34-2234,Mandalay,Sports and travel,55.07,9,520.4115,Ewallet,2019-02-03,2019,2,6,13:40,Member,Female,10.0
63,199-75-8169,Yangon,Sports and travel,15.81,10,166.005,Credit card,2019-03-06,2019,3,2,12:27,Member,Male,8.6
64,853-23-2453,Mandalay,Health and beauty,75.74,4,318.108,Cash,2019-02-14,2019,2,3,14:35,Member,Male,7.6
65,877-22-3308,Yangon,Health and beauty,15.87,10,166.635,Cash,2019-03-13,2019,3,2,16:40,Member,Male,5.8
66,838-78-4295,Naypyitaw,Health and beauty,33.47,2,70.287,Ewallet,2019-02-10,2019,2,6,15:43,Normal,Female,6.7
67,109-28-2512,Mandalay,Fashion accessories,97.61,6,614.943,Ewallet,2019-01-07,2019,1,0,15:01,Member,Female,9.9
68,232-11-3025,Yangon,Sports and travel,78.77,10,827.085,Cash,2019-01-24,2019,1,3,10:04,Normal,Male,6.4
69,382-03-4532,Yangon,Health and beauty,18.33,1,19.2465,Cash,2019-02-02,2019,2,5,18:50,Member,Female,4.3
70,393-65-2792,Naypyitaw,Food and beverages,89.48,10,939.54,Credit card,2019-01-06,2019,1,6,12:46,Normal,Male,9.6
71,796-12-2025,Naypyitaw,Fashion accessories,62.12,10,652.26,Cash,2019-02-11,2019,2,0,16:19,Normal,Male,5.9
72,510-95-6347,Mandalay,Food and beverages,48.52,3,152.838,Ewallet,2019-03-05,2019,3,1,18:17,Member,Female,4.0
73,841-35-6630,Naypyitaw,Electronic accessories,75.91,6,478.233,Cash,2019-03-09,2019,3,5,18:21,Normal,Female,8.7
74,287-21-9091,Yangon,Home and lifestyle,74.67,9,705.6315,Ewallet,2019-01-22,2019,1,1,10:55,Normal,Male,9.4
75,732-94-0499,Naypyitaw,Electronic accessories,41.65,10,437.325,Credit card,2019-01-13,2019,1,6,17:04,Normal,Female,5.4
76,263-10-3913,Naypyitaw,Fashion accessories,49.04,9,463.428,Credit card,2019-01-09,2019,1,2,14:20,Member,Male,8.6
77,381-20-0914,Yangon,Fashion accessories,20.01,9,189.0945,Credit card,2019-01-12,2019,1,5,15:48,Member,Female,5.7
78,829-49-1914,Naypyitaw,Food and beverages,78.31,10,822.255,Ewallet,2019-03-05,2019,3,1,16:24,Member,Female,6.6
79,756-01-7507,Naypyitaw,Health and beauty,20.38,5,106.995,Cash,2019-01-22,2019,1,1,18:56,Normal,Female,6.0
80,870-72-4431,Naypyitaw,Health and beauty,99.19,6,624.897,Credit card,2019-01-21,2019,1,0,14:42,Normal,Female,5.5
81,847-38-7188,Mandalay,Food and beverages,96.68,3,304.542,Ewallet,2019-01-26,2019,1,5,19:56,Normal,Female,6.4
82,480-63-2856,Naypyitaw,Food and beverages,19.25,8,161.7,Ewallet,2019-01-23,2019,1,2,18:37,Normal,Male,6.6
83,787-56-0757,Naypyitaw,Food and beverages,80.36,4,337.512,Credit card,2019-02-23,2019,2,5,18:45,Member,Female,8.3
84,360-39-5055,Naypyitaw,Sports and travel,48.91,5,256.7775,Cash,2019-03-09,2019,3,5,10:17,Member,Male,6.6
85,730-50-9884,Naypyitaw,Sports and travel,83.06,7,610.491,Ewallet,2019-03-05,2019,3,1,14:31,Normal,Female,4.0
86,362-58-8315,Naypyitaw,Fashion accessories,76.52,5,401.73,Cash,2019-03-25,2019,3,0,10:23,Normal,Male,9.9
87,633-44-8566,Yangon,Food and beverages,49.38,7,362.943,Credit card,2019-03-27,2019,3,2,20:35,Member,Male,7.3
88,504-35-8843,Yangon,Sports and travel,42.47,1,44.5935,Cash,2019-01-02,2019,1,2,16:57,Normal,Male,5.7
89,318-68-5053,Mandalay,Health and beauty,76.99,6,485.037,Cash,2019-02-27,2019,2,2,17:55,Normal,Female,6.1
90,565-80-5980,Naypyitaw,Home and lifestyle,47.38,4,198.996,Cash,2019-01-23,2019,1,2,10:25,Member,Female,7.1
91,225-32-0908,Naypyitaw,Sports and travel,44.86,10,471.03,Ewallet,2019-01-26,2019,1,5,19:54,Normal,Female,8.2
92,873-51-0671,Yangon,Sports and travel,21.98,7,161.553,Ewallet,2019-01-10,2019,1,3,16:42,Member,Female,5.1
93,152-08-9985,Mandalay,Health and beauty,64.36,9,608.202,Credit card,2019-03-12,2019,3,1,12:09,Member,Male,8.6
94,512-91-0811,Naypyitaw,Health and beauty,89.75,1,94.2375,Credit card,2019-02-06,2019,2,2,20:05,Normal,Male,6.6
95,594-34-4444,Yangon,Electronic accessories,97.16,1,102.018,Ewallet,2019-03-08,2019,3,4,20:38,Normal,Male,7.2
96,766-85-7061,Mandalay,Health and beauty,87.87,10,922.635,Ewallet,2019-03-29,2019,3,4,10:25,Normal,Male,5.1
97,871-39-9221,Naypyitaw,Electronic accessories,12.45,6,78.435,Cash,2019-02-09,2019,2,5,13:11,Normal,Female,4.1
98,865-92-6136,Yangon,Food and beverages,52.75,3,166.1625,Ewallet,2019-03-23,2019,3,5,10:16,Normal,Male,9.3
99,733-01-9107,Mandalay,Home and lifestyle,82.7,6,521.01,Cash,2019-03-05,2019,3,1,18:14,Normal,Male,7.4
100,163-56-7055,Naypyitaw,Fashion accessories,48.71,1,51.1455,Cash,2019-03-26,2019,3,1,19:20,Member,Male,4.1
101,189-98-2939,Naypyitaw,Fashion accessories,78.55,9,742.2975,Cash,2019-03-01,2019,3,4,13:22,Normal,Male,7.2
102,551-21-3069,Naypyitaw,Electronic accessories,23.07,9,218.0115,Cash,2019-02-01,2019,2,4,11:27,Normal,Female,4.9
103,212-62-1842,Yangon,Food and beverages,58.26,6,367.038,Cash,2019-03-28,2019,3,3,16:44,Normal,Male,9.9
104,716-39-1409,Mandalay,Health and beauty,30.35,7,223.0725,Cash,2019-03-19,2019,3,1,18:19,Normal,Male,8.0
105,704-48-3927,Yangon,Electronic accessories,88.67,10,931.035,Ewallet,2019-01-12,2019,1,5,14:50,Member,Male,7.3
106,628-34-3388,Naypyitaw,Fashion accessories,27.38,6,172.494,Credit card,2019-01-05,2019,1,5,20:54,Normal,Male,7.9
107,630-74-5166,Yangon,Sports and travel,62.13,6,391.419,Cash,2019-03-22,2019,3,4,20:19,Normal,Male,7.4
108,588-01-7461,Naypyitaw,Food and beverages,33.98,9,321.111,Cash,2019-03-24,2019,3,6,10:43,Normal,Female,4.2
109,861-77-0145,Naypyitaw,Electronic accessories,81.97,10,860.685,Cash,2019-03-03,2019,3,6,14:30,Member,Male,9.2
110,479-26-8945,Mandalay,Sports and travel,16.49,2,34.629,Ewallet,2019-02-05,2019,2,1,11:32,Member,Female,4.6
111,210-67-5886,Naypyitaw,Health and beauty,98.21,3,309.3615,Credit card,2019-02-05,2019,2,1,10:41,Member,Female,7.8
112,227-78-1148,Mandalay,Fashion accessories,72.84,7,535.374,Cash,2019-02-15,2019,2,4,12:44,Normal,Female,8.4
113,645-44-1170,Yangon,Home and lifestyle,58.07,9,548.7615,Ewallet,2019-01-19,2019,1,5,20:07,Member,Male,4.3
114,237-01-6122,Naypyitaw,Home and lifestyle,80.79,9,763.4655,Credit card,2019-02-01,2019,2,4,20:31,Member,Female,9.5
115,225-98-1496,Naypyitaw,Fashion accessories,27.02,3,85.113,Credit card,2019-03-02,2019,3,5,13:01,Normal,Female,7.1
116,291-32-1427,Mandalay,Fashion accessories,21.94,5,115.185,Ewallet,2019-03-05,2019,3,1,12:29,Member,Male,5.3
117,659-65-8956,Mandalay,Fashion accessories,51.36,1,53.928,Ewallet,2019-01-16,2019,1,2,15:26,Member,Male,5.2
118,642-32-2990,Yangon,Food and beverages,10.96,10,115.08,Ewallet,2019-02-02,2019,2,5,20:48,Normal,Female,6.0
119,378-24-2715,Mandalay,Home and lifestyle,53.44,2,112.224,Ewallet,2019-01-20,2019,1,6,20:38,Normal,Male,4.1
120,638-60-7125,Yangon,Electronic accessories,99.56,8,836.304,Credit card,2019-02-14,2019,2,3,17:03,Normal,Female,5.2
121,659-36-1684,Naypyitaw,Sports and travel,57.12,7,419.832,Credit card,2019-01-12,2019,1,5,12:02,Member,Male,6.5
122,219-22-9386,Mandalay,Sports and travel,99.96,9,944.622,Credit card,2019-03-09,2019,3,5,17:26,Member,Male,4.2
123,336-78-2147,Naypyitaw,Home and lifestyle,63.91,8,536.844,Credit card,2019-03-13,2019,3,2,19:52,Member,Male,4.6
124,268-27-6179,Mandalay,Fashion accessories,56.47,8,474.348,Ewallet,2019-03-09,2019,3,5,14:57,Member,Female,7.3
125,668-90-8900,Yangon,Home and lifestyle,93.69,7,688.6215,Credit card,2019-03-10,2019,3,6,18:44,Normal,Female,4.5
126,870-54-3162,Yangon,Sports and travel,32.25,5,169.3125,Cash,2019-01-27,2019,1,6,13:26,Normal,Female,9.0
127,189-08-9157,Naypyitaw,Fashion accessories,31.73,9,299.8485,Credit card,2019-01-08,2019,1,1,16:17,Normal,Female,5.9
128,663-86-9076,Naypyitaw,Food and beverages,68.54,8,575.736,Ewallet,2019-01-08,2019,1,1,15:57,Member,Female,8.5
129,549-84-7482,Mandalay,Sports and travel,90.28,9,853.146,Ewallet,2019-02-08,2019,2,4,11:15,Normal,Female,7.2
130,191-10-6171,Mandalay,Fashion accessories,39.62,7,291.207,Cash,2019-01-25,2019,1,4,13:18,Normal,Female,7.5
131,802-70-5316,Yangon,Sports and travel,92.13,6,580.419,Cash,2019-03-06,2019,3,2,20:34,Member,Female,8.3
132,695-51-0018,Mandalay,Sports and travel,34.84,4,146.328,Cash,2019-02-10,2019,2,6,18:36,Normal,Female,7.4
133,590-83-4591,Mandalay,Electronic accessories,87.45,6,550.935,Credit card,2019-02-17,2019,2,6,14:40,Member,Male,8.8
134,483-71-1164,Naypyitaw,Health and beauty,81.3,6,512.19,Ewallet,2019-03-08,2019,3,4,16:43,Normal,Female,5.3
135,597-78-7908,Naypyitaw,Fashion accessories,90.22,3,284.193,Cash,2019-02-18,2019,2,0,19:39,Normal,Male,6.2
136,700-81-1757,Yangon,Electronic accessories,26.31,5,138.1275,Credit card,2019-01-18,2019,1,4,20:59,Normal,Female,8.8
137,354-39-5160,Yangon,Home and lifestyle,34.42,6,216.846,Cash,2019-02-18,2019,2,0,15:39,Member,Female,9.8
138,241-72-9525,Mandalay,Sports and travel,51.91,10,545.055,Cash,2019-02-16,2019,2,5,12:21,Normal,Male,8.2
139,575-30-8091,Yangon,Sports and travel,72.5,8,609.0,Ewallet,2019-03-16,2019,3,5,19:25,Normal,Male,9.2
140,731-81-9469,Naypyitaw,Sports and travel,89.8,10,942.9,Credit card,2019-01-23,2019,1,2,13:00,Member,Female,5.4
141,280-17-4359,Naypyitaw,Health and beauty,90.5,10,950.25,Cash,2019-01-25,2019,1,4,13:48,Member,Male,8.1
142,338-65-2210,Naypyitaw,Health and beauty,68.6,10,720.3,Cash,2019-02-05,2019,2,1,19:57,Member,Female,9.1
143,488-25-4221,Naypyitaw,Food and beverages,30.41,1,31.9305,Credit card,2019-02-22,2019,2,4,10:36,Member,Female,8.4
144,239-10-7476,Yangon,Home and lifestyle,77.95,6,491.085,Ewallet,2019-01-21,2019,1,0,16:37,Normal,Female,8.0
145,458-41-1477,Naypyitaw,Health and beauty,46.26,6,291.438,Credit card,2019-03-08,2019,3,4,17:11,Normal,Female,9.5
146,685-64-1609,Yangon,Fashion accessories,30.14,10,316.47,Ewallet,2019-02-10,2019,2,6,12:28,Member,Female,9.2
147,568-90-5112,Naypyitaw,Health and beauty,66.14,4,277.788,Credit card,2019-03-19,2019,3,1,12:46,Normal,Male,5.6
148,262-47-2794,Mandalay,Home and lifestyle,71.86,8,603.624,Credit card,2019-03-06,2019,3,2,15:07,Member,Male,6.2
149,238-49-0436,Yangon,Health and beauty,32.46,8,272.664,Credit card,2019-03-27,2019,3,2,13:48,Normal,Male,4.9
150,608-96-3517,Mandalay,Fashion accessories,91.54,4,384.468,Credit card,2019-03-23,2019,3,5,19:20,Member,Female,4.8
151,584-86-7256,Naypyitaw,Sports and travel,34.56,7,254.016,Credit card,2019-03-11,2019,3,0,16:07,Member,Male,7.3
152,746-94-0204,Yangon,Fashion accessories,83.24,9,786.618,Credit card,2019-01-29,2019,1,1,11:56,Normal,Male,7.4
153,214-17-6927,Naypyitaw,Food and beverages,16.48,6,103.824,Ewallet,2019-02-07,2019,2,3,18:23,Normal,Female,9.9
154,400-89-4171,Naypyitaw,Sports and travel,80.97,8,680.148,Cash,2019-01-28,2019,1,0,13:05,Normal,Female,9.3
155,782-95-9291,Yangon,Food and beverages,92.29,5,484.5225,Credit card,2019-02-20,2019,2,2,15:55,Member,Male,9.0
156,279-74-2924,Mandalay,Electronic accessories,72.17,1,75.7785,Cash,2019-01-04,2019,1,4,19:40,Member,Male,6.1
157,307-85-2293,Mandalay,Home and lifestyle,50.28,5,263.97,Ewallet,2019-03-07,2019,3,3,13:58,Normal,Male,9.7
158,743-04-1105,Mandalay,Health and beauty,97.22,9,918.729,Ewallet,2019-03-30,2019,3,5,14:43,Member,Male,6.0
159,423-57-2993,Mandalay,Sports and travel,93.39,6,588.357,Ewallet,2019-03-27,2019,3,2,19:18,Normal,Male,10.0
160,894-41-5205,Naypyitaw,Food and beverages,43.18,8,362.712,Credit card,2019-01-19,2019,1,5,19:39,Normal,Female,8.3
161,275-28-0149,Yangon,Sports and travel,63.69,1,66.8745,Cash,2019-02-25,2019,2,0,16:21,Normal,Male,6.0
162,101-17-6199,Yangon,Food and beverages,45.79,7,336.5565,Credit card,2019-03-13,2019,3,2,19:44,Normal,Male,7.0
163,423-80-0988,Naypyitaw,Sports and travel,76.4,2,160.44,Ewallet,2019-01-30,2019,1,2,19:42,Normal,Male,6.5
164,548-46-9322,Mandalay,Food and beverages,39.9,10,418.95,Credit card,2019-02-20,2019,2,2,15:24,Normal,Male,5.9
165,505-02-0892,Mandalay,Health and beauty,42.57,8,357.588,Ewallet,2019-02-25,2019,2,0,14:12,Member,Male,5.6
166,234-65-2137,Naypyitaw,Home and lifestyle,95.58,10,1003.59,Cash,2019-01-16,2019,1,2,13:32,Normal,Male,4.8
167,687-47-8271,Yangon,Fashion accessories,98.98,10,1039.29,Credit card,2019-02-08,2019,2,4,16:20,Normal,Male,8.7
168,796-32-9050,Yangon,Food and beverages,51.28,6,323.064,Cash,2019-01-19,2019,1,5,16:31,Normal,Male,6.5
169,105-31-1824,Yangon,Sports and travel,69.52,7,510.972,Credit card,2019-02-01,2019,2,4,15:10,Member,Male,8.5
170,249-42-3782,Yangon,Health and beauty,70.01,5,367.5525,Ewallet,2019-01-03,2019,1,3,11:36,Normal,Male,5.5
171,316-55-4634,Mandalay,Food and beverages,80.05,5,420.2625,Credit card,2019-01-26,2019,1,5,12:45,Member,Male,9.4
172,733-33-4967,Naypyitaw,Electronic accessories,20.85,8,175.14,Cash,2019-03-03,2019,3,6,19:17,Normal,Male,6.3
173,608-27-6295,Mandalay,Electronic accessories,52.89,6,333.207,Credit card,2019-01-19,2019,1,5,17:34,Member,Male,9.8
174,414-12-7047,Mandalay,Food and beverages,19.79,8,166.236,Ewallet,2019-01-18,2019,1,4,12:04,Normal,Male,8.7
175,827-26-2100,Yangon,Home and lifestyle,33.84,9,319.788,Ewallet,2019-03-21,2019,3,3,16:21,Member,Male,8.8
176,175-54-2529,Yangon,Food and beverages,22.17,8,186.228,Credit card,2019-03-03,2019,3,6,17:01,Member,Male,9.6
177,139-52-2867,Naypyitaw,Fashion accessories,22.51,7,165.4485,Credit card,2019-02-13,2019,2,2,10:50,Normal,Female,4.8
178,407-63-8975,Yangon,Food and beverages,73.88,6,465.444,Ewallet,2019-03-23,2019,3,5,19:16,Normal,Male,4.4
179,342-65-4817,Naypyitaw,Health and beauty,86.8,3,273.42,Ewallet,2019-01-28,2019,1,0,16:47,Member,Male,9.9
180,130-98-8941,Naypyitaw,Fashion accessories,64.26,7,472.311,Cash,2019-02-09,2019,2,5,10:00,Normal,Male,5.7
181,434-83-9547,Naypyitaw,Food and beverages,38.47,8,323.148,Cash,2019-01-23,2019,1,2,11:51,Member,Male,7.7
182,851-28-6367,Yangon,Sports and travel,15.5,10,162.75,Ewallet,2019-03-23,2019,3,5,10:55,Member,Male,8.0
183,824-88-3614,Naypyitaw,Health and beauty,34.31,8,288.204,Ewallet,2019-01-25,2019,1,4,15:00,Normal,Male,5.7
184,586-25-0848,Yangon,Sports and travel,12.34,7,90.699,Credit card,2019-03-04,2019,3,0,11:19,Normal,Female,6.7
185,895-66-0685,Mandalay,Food and beverages,18.08,3,56.952,Ewallet,2019-03-05,2019,3,1,19:46,Member,Male,8.0
186,305-14-0245,Mandalay,Home and lifestyle,94.49,8,793.716,Ewallet,2019-03-03,2019,3,6,19:00,Member,Female,7.5
187,732-04-5373,Mandalay,Home and lifestyle,46.47,4,195.174,Cash,2019-02-08,2019,2,4,10:53,Member,Male,7.0
188,400-60-7251,Yangon,Home and lifestyle,74.07,1,77.7735,Ewallet,2019-02-10,2019,2,6,12:50,Normal,Male,9.9
189,593-65-1552,Naypyitaw,Home and lifestyle,69.81,4,293.202,Credit card,2019-01-28,2019,1,0,20:50,Normal,Female,5.9
190,284-34-9626,Mandalay,Home and lifestyle,77.04,3,242.676,Credit card,2019-02-11,2019,2,0,10:39,Normal,Female,7.2
191,437-58-8131,Mandalay,Fashion accessories,73.52,2,154.392,Ewallet,2019-01-15,2019,1,1,13:41,Normal,Female,4.6
192,286-43-6208,Naypyitaw,Food and beverages,87.8,9,829.71,Cash,2019-03-16,2019,3,5,19:08,Normal,Female,9.2
193,641-43-2399,Mandalay,Home and lifestyle,25.55,4,107.31,Ewallet,2019-01-26,2019,1,5,20:23,Normal,Male,5.7
194,831-07-6050,Yangon,Electronic accessories,32.71,5,171.7275,Credit card,2019-03-19,2019,3,1,11:30,Normal,Male,9.9
195,556-86-3144,Naypyitaw,Fashion accessories,74.29,1,78.0045,Cash,2019-01-13,2019,1,6,19:30,Member,Female,5.0
196,848-24-9445,Naypyitaw,Health and beauty,43.7,2,91.77,Cash,2019-03-26,2019,3,1,18:03,Member,Male,4.9
197,856-22-8149,Yangon,Home and lifestyle,25.29,1,26.5545,Ewallet,2019-03-23,2019,3,5,10:13,Normal,Female,6.1
198,699-01-4164,Naypyitaw,Health and beauty,41.5,4,174.3,Credit card,2019-03-12,2019,3,1,19:58,Normal,Male,8.2
199,420-11-4919,Naypyitaw,Food and beverages,71.39,5,374.7975,Credit card,2019-02-17,2019,2,6,19:57,Member,Female,5.5
200,606-80-4905,Naypyitaw,Sports and travel,19.15,6,120.645,Credit card,2019-01-29,2019,1,1,10:01,Member,Female,6.8
201,542-41-0513,Mandalay,Electronic accessories,57.49,4,241.458,Cash,2019-03-15,2019,3,4,11:57,Member,Female,6.6
202,426-39-2418,Naypyitaw,Electronic accessories,61.41,7,451.3635,Cash,2019-01-14,2019,1,0,10:02,Normal,Male,9.8
203,875-46-5808,Mandalay,Health and beauty,25.9,10,271.95,Ewallet,2019-02-06,2019,2,2,14:51,Member,Male,8.7
204,394-43-4238,Mandalay,Home and lifestyle,17.77,5,93.2925,Credit card,2019-02-15,2019,2,4,12:42,Member,Male,5.4
205,749-24-1565,Yangon,Health and beauty,23.03,9,217.6335,Ewallet,2019-01-03,2019,1,3,12:02,Normal,Female,7.9
206,672-51-8681,Naypyitaw,Electronic accessories,66.65,9,629.8425,Credit card,2019-01-04,2019,1,4,18:19,Member,Female,9.7
